country,electricity_generation,electricity_demand,renewables_share_elec,fossil_share_elec,carbon_intensity_elec,generation_score,demand_score,carbon_score,sustainability_score,risk_score,risk_level
Romania,49.81,54.39,47.039,32.483,250.75,0.4706444834154748,0.5148666685599068,25.074999999999996,57.278,11.23,Low Risk
Russia,1192.79,1176.11,17.353,64.316,449.73,11.270428294983823,11.133293575289429,44.973,26.5185,30.27,Moderate Risk
Serbia,36.62,37.4,27.799,72.201,695.8,0.3460148761829891,0.35403591476632684,69.58,27.799000000000003,39.66,Moderate Risk
Singapore,60.15,60.44,5.486,94.514,497.09,0.5683450246424576,0.5721371841838715,49.708999999999996,5.486000000000002,40.54,High Risk
Slovakia,29.1,26.75,18.729,14.845,94.85,0.2749599371088199,0.2532208748662899,9.485,51.942,1.86,Low Risk
Slovenia,14.84,14.31,39.623,21.092,183.29,0.1402201191304085,0.13546133530230314,18.328999999999997,59.2655,5.77,Low Risk
South Africa,242.76,236.84,13.635,82.159,699.29,2.293789495963474,2.241975028161948,69.929,15.737999999999996,43.66,High Risk
South Korea,624.66,624.66,10.394,60.042,417.06,5.902284340700873,5.913157072672025,41.705999999999996,25.176,27.68,Moderate Risk
Spain,287.89,275.1,55.858,25.36,153.6,2.7202136183593866,2.6041518757277142,15.36,65.249,5.44,Low Risk
Sri Lanka,17.25,17.25,61.623,38.377,329.28,0.1629917152964654,0.16329196603527107,32.928,61.623,14.97,Low Risk
Sweden,170.71,137.11,71.191,1.218,35.26,1.6130038097541801,1.2979108094548417,3.526,84.9865,-6.86,Low Risk
Switzerland,65.02,65.12,67.825,2.307,39.22,0.6143606567290538,0.6164390045343103,3.9219999999999997,82.759,-6.26,Low Risk
Taiwan,288.39,288.39,12.24,86.633,633.21,2.7249380159042116,2.729957686081845,63.321000000000005,12.803500000000003,42.81,High Risk
Tajikistan,24.67,19.47,94.366,5.634,72.56,0.23310177486166964,0.18430693209894072,7.256,94.366,-5.47,Low Risk
Thailand,188.24,225.1,16.575,83.425,545.74,1.7786411876757473,2.1308418292486677,54.574,16.575000000000003,38.55,Moderate Risk
Tunisia,22.31,24.9,4.034,95.966,560.29,0.2108026184500952,0.2357084031465652,56.028999999999996,4.0340000000000025,43.22,High Risk
Turkey,353.86,351.93,43.257,56.743,474.74,3.3435506304236084,3.3314400931474175,47.474,43.257,26.81,Moderate Risk
United Kingdom,292.31,321.38,51.972,35.582,217.41,2.7619772926556405,3.04224765474872,21.741,58.19500000000001,11.02,Low Risk
United States,4519.79,4535.81,25.638,56.998,384.4,42.70656955824993,42.93688883840249,38.44,34.32,28.59,Moderate Risk
Uruguay,11.94,14.75,97.822,2.178,80.4,0.112818613370423,0.13962646371131873,8.04,97.822,-6.41,Low Risk
Uzbekistan,86.7,89.63,19.377,80.623,1000.0,0.8192105342726695,0.8484555893183388,100.0,19.376999999999995,53.31,High Risk
Vietnam,309.99,313.59,45.418,54.582,460.73,2.929031989840656,2.968505949507284,46.073,45.418,25.53,Moderate Risk
