country,year,iso_code,population,gdp,electricity_demand,electricity_generation,per_capita_electricity,primary_energy_consumption,coal_share_elec,gas_share_elec,oil_share_elec,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,nuclear_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,carbon_intensity_elec,demand_score,carbon_score,grid_stress_index,risk_level
North Macedonia,2025,MKD,1813792.0,,8.35,6.82,3760.078,,30.645,19.648,2.493,52.786,47.214,47.214,0.0,23.754,2.933,19.941,441.35,0.026280712632210084,44.135000000000005,29.09,Low
Argentina,2025,ARG,45851379.0,,162.45,153.15,3340.139,,1.841,52.687,3.865,58.394,34.58,41.606,7.026,3.356,12.158,17.14,346.0,0.5112936248026979,34.599999999999994,28.1,Low
Belarus,2025,BLR,8997601.0,,45.47,46.37,5153.596,,0.043,54.496,4.033,58.572,4.831,41.428,36.597,0.798,1.035,2.006,309.25,0.14311185669300508,30.925000000000004,26.91,Low
Europe (Ember),2025,,,,5101.69,5101.69,,,12.757,23.747,2.355,38.859,41.604,61.141,19.537,8.717,12.253,16.063,282.68,16.057011835762854,28.267999999999997,26.56,Low
Europe,2025,,745787940.0,,4598.53,4626.24,6203.158,,11.152,24.341,2.554,38.047,41.551,61.953,20.402,8.668,12.652,15.74,271.19,14.473370713843956,27.119,25.34,Low
Greece,2025,GRC,9938847.0,,55.56,58.27,5862.853,,4.702,38.425,7.174,50.3,49.7,49.7,0.0,22.173,20.439,5.869,315.09,0.17486902920306494,31.508999999999997,24.61,Low
Czechia,2025,CZE,10609241.0,,68.04,75.5,7116.438,,35.232,5.404,0.212,40.848,16.848,59.152,42.305,5.815,0.755,2.265,401.46,0.21414846556833222,40.146,24.38,Low
Italy,2025,ITA,59146263.0,,311.6,264.7,4475.346,,1.409,47.242,2.573,51.224,48.776,48.776,0.0,16.861,8.115,15.754,284.78,0.9807269528379237,28.477999999999998,24.3,Low
Pakistan,2025,PAK,255219560.0,,195.51,195.03,764.166,,14.823,21.048,9.224,45.096,42.747,54.904,12.157,18.771,2.943,20.176,346.56,0.6153463624818435,34.656,24.17,Low
Ireland,2025,IRL,5308035.0,,37.64,30.95,5830.783,,0.517,48.368,2.973,51.858,48.142,48.142,0.0,4.75,37.997,2.1,256.54,0.11846778724268114,25.654000000000003,23.3,Low
Germany,2025,DEU,84075075.0,,520.27,500.47,5952.656,,20.611,16.518,3.778,40.908,59.092,59.092,0.0,17.907,27.18,3.908,329.65,1.6374929773844238,32.965,22.82,Low
